name,author,type,condition,introduction
武侠之我的系统好多坑,桃木斧,传统武侠,连载中,                        一人一刀，单枪匹马，纵横江湖。破迷局，诛元酋，侠之大者，为国为民。刀斗青龙会，武破逍遥侯，天地苍茫，唯我宝刀称雄！                    
江湖龙侠传,古城公子,传统武侠,连载中,                        上古有神龙，降世而为尊，黄帝得龙胜蚩尤，始皇得龙统天下，相传得神龙庇佑者就可得天下，随着时代的变迁，元朝末年，放牛娃朱重八，在山间意外寻获，而后夺取天下，之后为避免后人得到篡夺朱家王朝，便设计杀死神龙                    
女县令的捕快,将军仔,传统武侠,连载中,                        前世的商场沉浮，张君已经厌倦了，这一世，穿越而来被人所救，还是个美女，不错不错。不过一个女人当县令是不是有点不对啊？算了算了，人情债最难还，既然如此，那我就当你手下那个小小的捕头吧，替你遮风挡雨。什么                    
武林盟主叶乙传,非衣三石,传统武侠,连载中,                        朝廷禁武，是为了百姓安全，还是另有图谋？七星群岛，是武林的葬身地，还是新的江湖？店铺伙计叶小乙，从没想过自己就这样稀里糊涂的踏入了江湖。梦想还是要有的，万一实现了呢？                    
古朝奇侠传,半拍大大啊,传统武侠,连载中,                        一个背负血海深仇的少年，一块人人趋之若鹜的宝玉，一把人人想要获得的宝剑。十步杀一人，快意恩仇路。                    
江湖没有传说,零双丶,传统武侠,连载中,                        这是一个特殊的时代，刀光剑影，笑傲江湖。这个特殊的时代里，有着一个特殊的阶层，恩恩怨怨，情仇纠结。这个特殊的阶层里，有着一群特殊的人，豪气干云，儿女情长。这个时代，这个阶层，这群人，造就了一个世界——                    
长缨缚苍龙,尊敬的喵大人,传统武侠,连载中,                        五代十国，纵恶时代。何处是江湖，何处是庙堂？谁人是豪侠，谁人是君王？一个少年，背负李唐三百年国祚复兴的希望；一杠银枪，曾握在武神赵子龙手中血战八方；一句真言，谁能破解便可荣登大宝称帝为王。这是一个关于                    
醉卧江湖之多情,抚琴诉离殇,传统武侠,连载中,                        身世离奇从记事起就被一群女人抚养长大，却总有一个挥之不去的画面用在脑海中浮现，想要靠近却总是看不清她的脸，多年以后无意间得知了一些关于自己身世的传闻，而踏上了寻找记忆的路程！…                    
龙游江湖—武林神话,萤下野,传统武侠,连载中,                        纷扰世间情与仇，最不堪往事回首。望江湖恩怨，爱恨交织代代不停留。一丝丝，一团团，愈理愈乱愁。唯纵意山水情悠悠，何来悲秋。                    
极侠之道,徘徊的小木马,传统武侠,连载中,                        当世之义理，往往激发于内心而无法诉诸现实。一旦触及此大矛盾，便如水火相侵。侠义行于世，便即如此。一旦触及礼法，即成杀伐。                    
截拳霸天下,一叶西来,传统武侠,连载中,                        江湖风起，看少年如何力挽狂澜，捍卫河山……PS：求关注武侠幼苗！！！                    
扇舞江湖,Lelori,传统武侠,连载中,                        师傅，我想吃饭！先把嘴皮子练好。师傅，我想吃饭！先把扇子舞好。本文设定:可以说是华夏古代背景，但可不是战国时代，会稍微加一些郑州这类的地名，也可能会出现一些古代名人的后代。…………………………试着写一                    
日暮江湖,一步天城,传统武侠,连载中,                        身怀绝艺的剑者，自命不凡的刀客，落拓随缘的浪子，心怀天下的侠客……大夏十三州之上，千年王朝落幕，江湖风云再起。一场刀剑决，开启乱世新章。                    
铁衣卫,铁昊,传统武侠,连载中,                        大秦盛世。武学昌盛，人人如龙。在这天下历经数次以武犯禁的骚乱之后，大秦朝为国运昌盛，永保安宁，特携手当世诸子百家中的最强九家设立了大秦朝最大权利捕卫机构——天捕门，特设四大等级捕卫，铁衣卫、铜衣卫、银                    
封武之巅,木子萍,传统武侠,连载中,                        为了变强，学习各种功法，意外得到了远古之灵的传承，至此走向巅峰                    
走歪江湖,东怕怕,传统武侠,连载中,                        穿越到平行武侠世界的苏雨竟然成了忘云山庄的少庄主，江湖恩怨，刀光剑影，什么是江湖，我也不知道，这就是一群人，活在江湖的故事                    
桃花令主,小小的世概,传统武侠,连载中,                        故事主角是一身负家仇并父母失散多年的少年，在机缘巧合下当上了江湖鼎鼎大名的桃花令的令主，从而开始踏上寻找生父母并报家仇之路，不过一开始便是命犯桃花，先是迷迷糊糊白捡了一媳妇，后来又跟老婆的闺蜜不清不楚                    
红尘侠客传,善无名,传统武侠,连载中,                        大顺王朝中平二年四月，金军功破东京，掳走和，少二帝，并大肆搜刮金银财宝，以致天下大乱，民不聊生。而后，高帝刘昀于承天府称帝，改元建炎，延续大顺王朝国祚。昆山县延祥寺僧人慈照禅师眼见民生疾苦，欲以佛法普                    
江湖乱乱乱,一萧一剑,传统武侠,连载中,                        江湖风云起，谁主沉浮，年轻一代的枭雄改变着武林的框架和命运，仇人是谁？恩人是谁？是是非非，纷纷扰扰，恩恩爱爱，情情怨怨，谁可断，谁能续，无限惆怅，到头来，一切恩怨理还乱，江湖依然。                    
五行龙印,戈叔叔,传统武侠,连载中,                        刘氏夫妇金盆洗手，却因身怀至宝被江湖高手追杀，襁褓中的少年，父母双亡之际迎接新的人生，得道高僧收留，能否手刃仇人？江湖之大，何为正道？且看少年家破人亡，集百家功力于一身，踏足江湖书写传奇一生.                    
情剑风云诀之神琴魔剑,南北隐士,传统武侠,连载中,                        一代奇侠情剑侠侣归隐之后，江湖平静近十余年年，可是江湖必定是江湖。一场因为一块古玉引起江湖纷争，由此铺展开来，而少年成名的蓝千浩也卷入武林斗争之中。情剑侠侣后代江湖行，江湖又是风起云涌……                    
宫家最后的一位少爷,要做鲲的鲤,传统武侠,连载中,                        宫家本是江湖上顶顶有名的武林世家，可是十多年前的一声变故，使得宫家家道中落，宫家唯一留存于世的血脉宫铭，本是天赋异禀的武术奇才，宫家变故之后终日贪恋酒色，后来无意卷入一场江湖纷争，发现宫家的变故原来隐                    
轩辕群侠记,兰色大海,传统武侠,连载中,                        冥冥中，穿越了千年时光，热血男儿应运而生。看我逆天改命，杀上武道巅峰，笑看九州风云，称雄天下！                    
神剑相思,神剑三少,传统武侠,连载中,                        五个故事，五个波谲诡异，又妙趣横生的江湖故事。刀光剑影，江湖斗争之中，见证了一个个剑客的绝代风流。“师父，何谓江湖？”“孩子，不同的人，眼中的江湖是不一样的，若想知晓何谓江湖，只有你真正入了江湖，方知                    
丹心射天狼,乔胜昔.CS,传统武侠,连载中,                        谁说“崖山之后无中华”？且看一群中华儿女如何守卫中华之魂。丑未必真丑，俊未必真俊。善未必真善，恶未必真恶。是未必真是，非未必真非。一个好看的元朝武侠故事写给你。                    
一缕烟波,温起白,传统武侠,连载中,                        南景兴，十六载，少年行于江湖，身后却是一片云谲波诡！                    
秦关行,九岁理想,传统武侠,连载中,                        秦灭六国，平疆土，一统天下，称皇！六国虽亡，侠者尚存，暗流之下，腥风血雨起。                    
江湖人物之韩福传,平江散人,传统武侠,连载中,                        什么是江湖？江湖就是一个讲道义，却常常又没有道义的地方。江湖在哪儿？有人的地方就有江湖，江湖无处不在。韩福，一个习武的男人，在命运的推动下一步步从衣食无忧的富家子成为叱诧风云的江湖大佬。在他的生命中，                    
云中尘缘,曼十四,传统武侠,连载中,                        有个青袍客，手执一只玄铁唢呐，一个不高兴，便是一曲《送君行》。一柄残刀，封刀归海一式，将星宿海分为两片，练得一身寒骨，只在那冰海雪原上睡觉。有个银发老头，挎着竹篮，一只袖里剑鱼钩，整日破冰抓鱼，骑着天                    
救救武林,肥脸猫,传统武侠,连载中,                        当你穿越回古代，过了八年平淡无奇的生活，突然有一天，你发现身边竟然有人是武林高手，你该怎么办？想啥呢！拜师啊！（新人新书，请小心呵护...）                    
魔刀轮回,顽强发际线,传统武侠,连载中,                        十六年前，血修罗断魂，手持轮回刀，血洗武林正邪两道。十六年后，一个遗忘了过去的神秘少年，背负轮回刀再现武林，又会卷起怎样的无边风波？                    
沧海孤云传,馃子陈,传统武侠,连载中,                        黑衣绣红云，人鬼皆断魂。十几年前，江湖中的神秘门派“天门”被人血洗，一夜之间被从江湖上抹去。侥幸活下来的天门少主走上复仇的道路，一点点揭开灭门惨案背后的真相……                    
霜暖长安,妯娌控,传统武侠,连载中,                        初出茅庐，一战技惊四座，恩怨分明，只因时日无多。是过关斩将，寻找活下去的一丝希望？还是远离江湖，安稳度过有限的余生？小女主，反套路，绝不傻白甜。不穿越，无后宫，烧脑加原创。                    
剑映神川,月下骕骦,传统武侠,连载中,                        南唐将领皇甫继勋之子皇甫承贞国破之后流落四川青城县，后化名李顺起义，兵败后与子（灵玉）失散，后出家为道。本书主要讲述灵玉闯荡江湖、寻根溯源、冲破层层感情纠葛，并最终成长为一代大侠的曲折故事。                    
飞花饮血录,一介儒,传统武侠,连载中,                        刀剑中的江湖，有阴险狡诈，有侠义豪情，什么模样都是江湖。                    
问佛剑,小Four,传统武侠,连载中,                        这是许多江湖故事中一则，悲、喜、恩、怨，只是人们茶语饭后的闲谈。客官，老酒香醇，您不来品品？                    
长剑江湖行,小天大大,传统武侠,连载中,                        从软弱到坚强都是一个成长的过程坚持着走下去却是一个痛苦的经历我们的主角就这样一步一步的开始了江湖路                    
碎梦神剑传,纸凤,传统武侠,连载中,                        传说，口口相传之说，纵精美绝伦却过多不实；故事，过往之事也，虽消逝不在犹历历在目；天南地北，恩怨情仇。一踏步成一世路，再回首已百年身。梦碎过后，只留神剑傲立。                    
刀戈弄影,贾沉艾,传统武侠,连载中,                        我不曾伤人，为什么你们要来伤我？我不想流泪，偏偏又泪流不止。难道要如贤者所言，去爱戴害你之人，做到我不入地狱，谁入地狱？不，我只是一个凡人，一个拿起刀就放不下的人。                    
天风飞雪,凌云小白,传统武侠,连载中,                        一本传统武侠，从初中为了初恋就开始断断续续的写，没胆子发网上。现在人也快三十了，初恋早就结婚了。无所谓了                    
美人如玉剑如虹之匡复,行歌无邪,传统武侠,连载中,                        我本欲成仙，绝迹于江湖，寄情与山水，却不料林欲静而风不止……时代注定要让那“江湖召集令”重现江湖。这注定是一条无法后退的路，一旦启程，不是抵达终点，便是死在途中，不可退出。                    
四大金镖之御骧铤,冯墨瓦,传统武侠,连载中,                        二百年前，国逢乱世，匪盗四起。商帮兴盛，财货流通，绿林贼寇、江洋大盗猖獗。镖局应运而生，纵横四海。江湖四大镖局——东方、西门、南宫、北野四分天下。江湖盛传前朝惊天宝藏“御骧铤”，一本《河图洛书》不仅蕴                    
傲世紫冥,白云回望,传统武侠,连载中,                        明朝初年，定远将军韩清林北征蒙古，大漠之中为魔教中人所害。其子韩潇在洛阳亦受魔教的追杀，生死之际，韩潇为武功绝顶的狂生袁廷玉所救，机缘巧合之下，拜入了名动江湖的“北端木，南皇甫”之端木世家，从此勤修苦                    
剑九江湖,陆指,传统武侠,连载中,                        人在江湖，又隐于江湖，江湖在世俗，又隐于世俗世俗常言：“四家、三派、两势共有九柄绝世好剑。”削铁如泥的太叔剑、流光四溢的隐月剑、一门一剑的独孤剑、从未问世的苏剑...一柄剑就是一个传说十年之期，山海论                    
蒸汽江湖,a米啊米啊a,传统武侠,连载中,                        火药，剑客，蒸汽机。帝国经过大战屹立世界，盛世的表面下危机四伏，各方势力蠢蠢欲动，少年拨开一团迷雾，走入江湖，坦荡无惧！                    
逸剑惊澜,望霓裳,传统武侠,连载中,                        金皇统九年，完颜亮弑君称帝，改元天德，秣马厉兵，欲统天下。南宋王朝危如累卵，乞和不得，迁都临安，高宗更欲趋海避难。天下动荡，江湖风起云涌；深山少年，书写侠骨柔情；一人一剑，北拒金寇，南服大理，西枭夏首                    
万历乾坤录,文野豪犬,传统武侠,连载中,                        万历年间，以援朝战争为起源酝酿出的一场江湖风波······                    
宋辽英雄野史,倒手一次,传统武侠,连载中,                        从前有一个女孩，跟着父母远游祭奠先祖，遇见一个男孩，遭遇血雨腥风。终于三五好友，结伴勇闯江湖，又遇昔日故人，竟是江湖魔头。英雄血，女儿泪，终淡去，难道异日醉酒舞剑，旧情只能梦中寻……                    
铁血诛杀令,冷眼侃天下,传统武侠,连载中,                        明嘉靖年间，青年侠士胡清阳，受高人指点，成立暗杀组织“铁血兴明党”，以“铁血锄奸、兴我大明”为己任，专门诛杀贪官污吏、土豪恶霸和卖国求荣者，与奸臣严嵩及其党羽展开了殊死搏斗……                    
江湖一统之神秘门,丹成春雪,传统武侠,连载中,                        神秘门出没江湖，势力渗入少林武当丐帮等名门大派，江湖中顿时腥风血雨，诡谲百出。谁是神秘门主？三大绝世高手的恩怨纠葛，情仇缠结……                    
神剑慕容,北岳楼主,传统武侠,连载中,                        他，曾经名震武林，是年轻一辈的翘楚。十五岁踏入江湖，十七岁以绝妙剑术闻名于世，和他父亲慕容御风齐名，江湖上有句话：御剑山庄，剑圣父子，慕容二人，震铄古今。他就是剑圣慕容御风的儿子，‘小剑圣’慕容泰然。                    
血布娃娃,霖允,传统武侠,连载中,                        金庸先生永垂不朽，以此武侠纪念金庸古龙先生！                    
断刀流剑传,苏日格勒,传统武侠,连载中,                        霍去病出身卑微，十七岁随军出征，身率八百骑兵歼敌两千人有余，被汉武帝赐予“冠军侯”而后第二次出征，被封为骠骑将军，他身先士卒，骁勇善战，直击匈奴于漠北，封狼居胥，世人难当。但不想少年英雄，天妒劫难，二                    
月明如潮,颂刀歌,传统武侠,连载中,                        靖难之役，江湖纷争；朝声鹤唳，墨家出征。三雄驰骋，英姿凛冽；欲知详情，敬请观阅。                    
清秋琵琶曲,败笔苏半城,传统武侠,连载中,                        懒得写简介，反正你们都去看重生系统打脸文了，而我要讲的故事，讲故事的方式，恰好不是讨喜谄媚的摇尾乞怜，所以，随意。                    
武祖世纪,天性子,传统武侠,连载中,                        吾在地球无意间进入了【天醒之路】，获得了【天神诀】修炼到了巅峰【天珠变】之境界，吾以为自己【无敌天下】了，以【武动乾坤】之力，挑战【狂神】【神尊】与【修罗武神】【绝天武帝】，想开创【诛仙】之壮举，但之                    
东晋江湖梦,落雨微冷,传统武侠,连载中,                        曹操墓内无数珍宝，引得江湖各大门派民间人士追求。三十六件神兵，是否是开启曹操墓的关键？十五年前，十五年后，风风雨雨三十年。东晋北魏为何都是最后的失败者？一切答案都在不一样的江湖---《东晋江湖梦》内。                    
鸿渐于磐,徐鸣辰,传统武侠,连载中,                        所谓“鸿渐于磐”源自《周易·渐卦》，原文写道：“鸿渐于磐，饮食衎衎，吉。”这句话大意是指鸿雁在高空翱翔，迁徙途中看似缓慢，可那群鸿雁循序渐进，便会寻得适合栖息的磐石，享有丰美食物。世人集众缘所生，我辈                    
无侠纪,西门甲,传统武侠,连载中,                        绿鬓朱颜年十八，欲将不平剑下伐。江湖几载凄凉事，人心却把侠骨杀。双目难辨黑白相，善恶同源自一家。庸庸碌碌斑白发，方知世间本无侠！一个少年意外踏上中原之路，命运再无法回头……响木落下，大幕拉开，温一杯酒                    
燈火,烟雨下西楼,传统武侠,连载中,                        远处有座清凉山，山里面有两个男人一文一武，武者令江湖黯然失色，文者成为文坛脊梁。两个惊才绝艳的男人把所有东西教给了一个小乞丐。小乞身负血海深仇，在最绝望无助的时候遇到了一生的挚爱，遇到了誓死追随的榜眼                    
故国明月,江南虹,传统武侠,连载中,                        明朝末年，女真人崛起于东北黑水白山，高迎祥李自成起兵陕西，加之中原连年大旱，百姓苦不堪言，天下形势极其严峻。江南明月山庄四大弟子水火风云，二十年间相继下山。战边关，斗金清，平内乱。土行教，白高楼妖孽九                    
琅嬛阁,羽庸龙II,传统武侠,连载中,                        〖燃爆武侠，热血江湖〗盛世大唐，神秘琅嬛阁，江湖腥风血雨纷争之地，朝廷角逐争雄利益之门！少年剑客，手持神剑龙吟，卷入风雨飘摇、刀光剑影争斗之中，江湖之远，朝堂之高！家国天下，爱恨情仇，侠骨丹心，弑剑争                    
三国玄侠传,慕宇阁,传统武侠,连载中,                        三部绝学引发的天下大乱，三国中各路英雄竞相登场：张角为何起事反汉？郭嘉大才，为何英年早逝？司马懿多智，为何早年隐忍不出？水镜先生为何不辅佐刘备？赤壁之战曹操为何大败？庞统为何先投吴而后投蜀？诸葛亮为何                    
十绝山,沙漠老胡杨,传统武侠,连载中,                        武侠的长河中也有璀璨的浪花，它不在史书中，它在每个人的心底。翁锐，一个放牛娃，没落将门的后代，本来他可以安安稳稳度过一生，就因为在十岁的时候和另一个小孩打了一架，从此坠入江湖。一入江湖深似海，勾心斗角                    
自悦一笑刀,张夕林,传统武侠,连载中,                        江右第一大帮立义堂，提早半年发出会英帖，这一怪象引来江湖各路豪杰。张自悦路过隆兴，偶遇少年姜漆雨，同时隆兴府命案连连……                    
